########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/datasets/insitu-observations-woudc-ozone-total-column-and-profiles
# This is a C3S product under the following licences:
# 20180314_Copernicus_License_V1.1
# woudc-data-policy
# This is a CSV file following the CDS convention cdm-obs
# Data source: TotalOzone
# Time extent: 20040101 - 20250331
# Geographic area (minlat/maxlat/minlon/maxlon): 50.80/50.80/4.35/4.35
# Variables selected and units:
# total_ozone_column [Dobson-units]
# standard_deviation_ozone [None]
# Uncertainty legend:
# No uncertainty columns available for this dataset.
########################################################################################
index,observation_id,report_id,observed_variable,observation_value,units,sensor_id,primary_station_id,height_of_station_above_sea_level,report_timestamp,longitude,latitude
200,478909,19412,total_ozone_column,342.2,Dobson-units,MKII,53,100.0,2004-02-16,4.35,50.8
201,478936,19413,total_ozone_column,341.8,Dobson-units,MKIII,53,100.0,2004-02-16,4.35,50.8
202,501949,20340,total_ozone_column,328.4,Dobson-units,Beck,53,100.0,2004-02-16,4.35,50.8
203,478909,19412,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-02-16,4.35,50.8
204,478936,19413,standard_deviation_ozone,0.6,None,MKIII,53,100.0,2004-02-16,4.35,50.8
205,501949,20340,standard_deviation_ozone,10.7,None,Beck,53,100.0,2004-02-16,4.35,50.8
206,478910,19412,total_ozone_column,339.8,Dobson-units,MKII,53,100.0,2004-02-17,4.35,50.8
207,478937,19413,total_ozone_column,327.7,Dobson-units,MKIII,53,100.0,2004-02-17,4.35,50.8
208,501950,20340,total_ozone_column,330.5,Dobson-units,Beck,53,100.0,2004-02-17,4.35,50.8
209,478910,19412,standard_deviation_ozone,6.0,None,MKII,53,100.0,2004-02-17,4.35,50.8
210,478937,19413,standard_deviation_ozone,8.1,None,MKIII,53,100.0,2004-02-17,4.35,50.8
211,501950,20340,standard_deviation_ozone,0.0,None,Beck,53,100.0,2004-02-17,4.35,50.8
212,478911,19412,total_ozone_column,358.5,Dobson-units,MKII,53,100.0,2004-02-18,4.35,50.8
213,478938,19413,total_ozone_column,363.0,Dobson-units,MKIII,53,100.0,2004-02-18,4.35,50.8
214,501951,20340,total_ozone_column,361.0,Dobson-units,Beck,53,100.0,2004-02-18,4.35,50.8
215,478911,19412,standard_deviation_ozone,0.8,None,MKII,53,100.0,2004-02-18,4.35,50.8
216,478938,19413,standard_deviation_ozone,1.2,None,MKIII,53,100.0,2004-02-18,4.35,50.8
217,501951,20340,standard_deviation_ozone,0.0,None,Beck,53,100.0,2004-02-18,4.35,50.8
218,478912,19412,total_ozone_column,381.1,Dobson-units,MKII,53,100.0,2004-02-19,4.35,50.8
219,478939,19413,total_ozone_column,373.4,Dobson-units,MKIII,53,100.0,2004-02-19,4.35,50.8
220,501952,20340,total_ozone_column,371.2,Dobson-units,Beck,53,100.0,2004-02-19,4.35,50.8
221,478912,19412,standard_deviation_ozone,6.0,None,MKII,53,100.0,2004-02-19,4.35,50.8
222,478939,19413,standard_deviation_ozone,2.3,None,MKIII,53,100.0,2004-02-19,4.35,50.8
223,501952,20340,standard_deviation_ozone,0.0,None,Beck,53,100.0,2004-02-19,4.35,50.8
224,478913,19412,total_ozone_column,381.8,Dobson-units,MKII,53,100.0,2004-02-20,4.35,50.8
225,478940,19413,total_ozone_column,382.8,Dobson-units,MKIII,53,100.0,2004-02-20,4.35,50.8
226,501953,20340,total_ozone_column,350.4,Dobson-units,Beck,53,100.0,2004-02-20,4.35,50.8
227,478913,19412,standard_deviation_ozone,2.5,None,MKII,53,100.0,2004-02-20,4.35,50.8
228,478940,19413,standard_deviation_ozone,3.1,None,MKIII,53,100.0,2004-02-20,4.35,50.8
229,501953,20340,standard_deviation_ozone,0.6,None,Beck,53,100.0,2004-02-20,4.35,50.8
230,478914,19412,total_ozone_column,351.8,Dobson-units,MKII,53,100.0,2004-02-21,4.35,50.8
231,478941,19413,total_ozone_column,342.3,Dobson-units,MKIII,53,100.0,2004-02-21,4.35,50.8
